Course Name,Category,Description,Link
Introduction to Business Analytics,Business Analytics Courses,Business analytics is thriving â€“ and so is its role in forward-thinking organizations around the world.,https://courses.analyticsvidhya.com/courses/introduction-to-analytics
Introduction to Python,Business Analytics Courses,"Power up your career with the best and most popular data science language, Python.",https://courses.analyticsvidhya.com/courses/introduction-to-data-science
Microsoft Excel: Formulas & Functions,Business Analytics Courses,Microsoft Excel is still the tool of choice in the industry when it comes to performing data analysis.,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions
Introduction to PyTorch for Deep Learning,Deep Learning Courses,PyTorch is a popular and leading deep learning framework.,https://courses.analyticsvidhya.com/courses/introduction-to-pytorch-for-deeplearning
Convolutional Neural Networks (CNN) from Scratch,Deep Learning Courses,"Convolutional neural networks, or CNNs, have taken the deep learning community by storm.",https://courses.analyticsvidhya.com/courses/convolutional-neural-networks-cnn-from-scratch
Generative AI - A Way of Life - Free Course,Generative AI,Embark on a journey into Generative AI for beginners.,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life
Getting Started with Large Language Models,Generative AI,Embarking on a journey into Large Language Models (LLMs) can be seamless with the right approach.,https://courses.analyticsvidhya.com/courses/getting-started-with-llms
"Data Science Hacks, Tips and Tricks",Machine Learning Courses,"Learn key data science hacks, tips and tricks to become a better and more efficient data scientist.",https://courses.analyticsvidhya.com/courses/data-science-hacks-tips-and-tricks
Getting Started with Decision Trees,Machine Learning Courses,Decision Tree algorithm is one of the most powerful algorithm in Machine Learning.,https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees
Loan Prediction Practice Problem (Using Python),Machine Learning Courses,This course is aimed for people getting started into Data Science and Machine Learning.,https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python
Big Mart Sales Prediction Using R,Machine Learning Courses,This course is aimed for people getting started into Data Science and Machine Learning.,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r
Twitter Sentiment Analysis,Machine Learning Courses,What is sentiment analysis? Why is sentiment analysis so popular in data science?,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis
Pandas for Data Analysis in Python,Machine Learning Courses,Learn how to work with Pandas in this superb free course and master the most popular Python library in data science.,https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python
Support Vector Machine (SVM) in Python and R,Machine Learning Courses,Learn all about Support Vector Machines (SVM) in this free course for data scientists.,https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r
Evaluation Metrics for Machine Learning Models,Machine Learning Courses,This course will teach you all about evaluation metrics for machine learning models.,https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models
Fundamentals of Regression Analysis,Machine Learning Courses,Learn the different types of regression and how to implement them.,https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis
Getting Started with scikit-learn (sklearn) for Machine Learning,Machine Learning Courses,Find out in this course and build sklearn models!,https://courses.analyticsvidhya.com/courses/get-started-with-scikit-learn-sklearn
Dimensionality Reduction for Machine Learning,Machine Learning Courses,Learn about dimensionality reduction techniques that every data scientist should know.,https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning
K-Nearest Neighbors (KNN) Algorithm in Python and R,Machine Learning Courses,A practical hands-on tutorial on the K-Nearest Neighbor (KNN) algorithm in both Python and R.,https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm
Ensemble Learning and Ensemble Learning Techniques,Machine Learning Courses,Ensemble learning is a powerful machine learning technique every data scientist should know.,https://courses.analyticsvidhya.com/courses/ensemble-learning-and-ensemble-learning-techniques
Naive Bayes from Scratch,Machine Learning Courses,"Learn what is Naive Bayes, how a Naive Bayes classifier works, and implement it yourself in this course!",https://courses.analyticsvidhya.com/courses/naive-bayes
Winning Data Science Hackathons - Learn from Elite Data Scientists,Machine Learning Courses,"Competing in a data science hackathon is all about skills, tactics, creativity and learning!",https://courses.analyticsvidhya.com/courses/Intro-to-NLP
Hypothesis Testing for Data Science and Analytics,Machine Learning Courses,Learn the basics of hypothesis testing and how to implement them in your project.,https://courses.analyticsvidhya.com/courses/hypothesis-testing-for-data-science-and-analytics
Introduction to Natural Language Processing,NLP Courses,"Learn the basics of NLP, Regular Expressions, and Text Preprocessing.",https://courses.analyticsvidhya.com/courses/Intro-to-NLP
